倫理
デカルトとは異なる道を通って学問の革新を目指した哲学者は誰か,ベーコン
ベーコンの主著は何かカタカナで答えよ,ノヴム・オルガヌム
ベーコンの主著は何か漢字で答えよ,新機関
観察、経験から一般的法則を導き出す方法を何というか,帰納法
個人の生まれや教育によって歪められた認識のことを何というか,イドラ
人間という種に根差しているイドラを何というか,種族のイドラ
受けた教育や外部からの影響に由来するイドラを何というか,洞窟のイドラ
社会生活の中で生まれる誤解・偏見を何というか,市場のイドラ
学説等の世界的な偏見を何というか,劇場のイドラ
新しい知識は社会に有益な形で用いられなければならないということを1文で表せ,知は力である
『統治二論』の著者として知られている哲学者は誰か,ロック
ロックの哲学の分野における主著は何か,人間知性論
ロックは人間の心を何に例えたか,白紙
ロックは知識は経験を通じてのみ形成されるとした.これは何説か,白紙説
それ以上分割できない観念を何というか,単純観念
単純観念を要素としてつくられる観念は何か,複合観念
観念論を唱えた哲学者は誰か,バークリ
バークリの主著は何か,人知原理論
バークリはいかなる特殊な性質も持たない物質を認めない。これを何論というか,物質否定論
バークリは物質をどのように否定したか1文を答えよ。句読点は書かなくてよい,存在するとは知覚されることである
バークリの観念論をさらに徹底させた立場をとった哲学者は誰か,ヒューム
ヒュームの主著は何か,人間本性論
ヒュームは知識を、観念が何によって結びつけられたものであるとしたか,習慣
イギリスの動乱期に新しい政治理論を説いた哲学者はだれか,ホッブズ
ホッブズの主著は何か,リヴァイアサン
ホッブズは人間は国家が存在しないときどんな状態であるといったか,万人の万人に対する戦争
ホッブズは自らの著書の中で人々を治める国家を何に例えたか,リヴァイアサン
自己保存の権利、生命維持の権利を何というか,自然権
ロックの政治思想における主著は何か,統治二論
統治二論の前編でロックが批判したものは何か,王権神授説
統治二論の後編でロックが論じたものは何か,社会契約説
社会契約説の中でロックが国民に認めたものは何か,抵抗権
ロックが自然権としたものは何か漢字で答えよ,固有権
ロックが自然権としたものは何かカタカナで答えよ,プロパティ
社会契約論の3人目の代表者は誰か,ルソー
ルソーの主著は何か,社会契約論
ルソーは公益を求める普遍的な意志を何と呼んだか,一般意志
ルソーは政府の制度を何でなければならないとしたか,直接民主制
人間の振る舞いを観察し、批判的に論評する作家は何か,モラリスト
16世紀末の代表的なモラリストは誰か,モンテーニュ
モンテーニュの主著は何か,エセー
15世紀後半にフランス国内で起こった宗教戦争は何か,ユグノー戦争
『エセー』の中での標語は何か,ク・セ・ジュ？
「ク・セ・ジュ？」は日本語で何か,私は何を知るか
分からない事柄には何をすべきとしたか日本語で答えよ,判断中止
判断中止をカタカナで表せ,エポケー
単位などにも名を残すモラリストは誰か,パスカル
パスカルの主著は何か,パンセ
数学などは何に基づく学問としたか,幾何学的精神
人間の心情を理解する上で必要なのは何か,繊細の精神
パスカルは人間を何をする何と例えたか,考える葦
快が大きくなることを良しとするものは何主義か,功利主義
功利主義の提唱者である哲学者は誰か,ベンサム
ベンサムの主著は何か,道徳及び立法の諸原理序説
社会全体を見て最も快が多い状態をなんというか,最大多数の最大幸福
快の価値を評価することを何というか,快楽計算
動機の善悪は結果によるというものは何主義か,帰結主義
ベンサムは反社会的な快への傾向は何によって正されなければならないとしたか漢字で答えよ,制裁
制裁をカタカナで書け,サンクション
刑罰は制裁の内何に含まれるか,政治的制裁
損害賠償は制裁の内何に含まれるか,物理的制裁
良心の呵責は制裁の内何に含まれるか,道徳的制裁
神の裁きは制裁の内何に含まれるか,宗教的制裁
自由の最大限の尊重を説いたのは誰か,J・S・ミル
J・S・ミルの主著は何か,自由論
人間は危害を及ぼさない限り自由であるべき　これを何というか,他者危害の原則
ベンサムが量的功利主義とされるのに対し、J・S・ミルは何とされるか,質的功利主義
J・S・ミルは良心の呵責を何として重視したか,内的制裁
ドイツ観念論の最初に位置づけられる哲学者は誰か,カント
カントの考え方を何というか,批判哲学
カントの著書たちは何と総称されるか,三批判書
三批判書のうち1番目に出版されたものは何か,純粋理性批判
三批判書のうち2番目に出版されたものは何か,実践理性批判
三批判書のうち3番目に出版されたものは何か,判断力批判
カントは合理論者たちは何に陥ったと考えたか,独断論
カントは経験論者たちは何に陥ったと考えたか,懐疑論
理性を吟味することを何というか,理性批判
カントは対象が認識に従うと考えた　この捉え方を何というか,コペルニクス的転回
カントは概念なき直感は何であるとしたか,盲目
カントは直感なき概念は何であるとしたか,空虚
これら(盲目.空虚)の誤謬は理性の何として解明されているか漢字で答えよ,二律背反
これら(盲目.空虚)の誤謬は理性の何として解明されているかカタカナで答えよ,アンチノミー
カントは善は何のみであるといったか,善意志
善悪は動機にあるというのは何主義か,動機主義
人間は何に従うことのできる存在であるとされたか,道徳法則
自身で法則を立て自身でそれに服することを何というか,意志の自律
「～ならば…せよ」という命令形式を何というか,仮言命法
単に「…せよ」という命令形式を何というか,定言命法
人格の尊厳を何よりも重んじる立場は何主義か,人格主義
人格が互いを尊重する道徳的共同体を何というか,目的の国
道徳と幸福が一致している状態を何というか,最高善
カントは人々にどんな生き方をせよと説いたか,幸福に値する生き方
