英語に訳しなさい
危険な,dangerous
目が覚めて,awake
に気づいて…,aware
水中(の、で),underwater
に気づいて(3語)…,be aware of
マガモ,mallard
警戒して,alert
餌食,prey
捕食者,predator
餌食になる(3語),fall prey to
先駆的な,pioneering
限り(3語)…,as far as
発見,discovery
に貢献する(2語)…,contribute to
眠って,asleep
前へ,forth
活動的に,actively
割合、率,rate
呼吸,breathing
寝入る(2語),fall asleep
前後に(3語),back and forth
うたた寝,nap
記憶,memorization
を行う…,perform
認知,recognition
仕事,task
を思い出す…,recall
を取り付ける…,attach
保管庫,storage
の為に場所を開ける(3語)…,make room for
図,chart
になる(2語)…,fall into
特に,particularly
を考慮に入れると(4語)…,if we consider that
異なる,differ
によると(2語)…,according to
に陥る(2語)…,sink into
幼年期,infancy
乳幼児,infant
割合,proportion
休みのない,restless
目覚め,awakening
10代,teenager
不運な,unfortunate
を無駄にする…,waste
を否定する…,deny
をリフレッシュする…,refresh
その上,besides
役割,role
不可欠な,indispensable
を振る…,shake
を振り払う、取り除く(2語)…,shake off
根本的な,fundamental
味方,ally
