Lesson5,6,7,8
鳩,pigeon
ギリシャ,Greece
オリンピック,Olympic
将軍,general
を届ける…,deliver
戦闘,battle
航空郵便サービス(2語),airmail service
医学用試料(2語),medical sample
検査をすること,testing
江戸時代(3語),the Edo period
関東大震災(4語),the Great Kanto Earthquake
遠く離れた,remote
大規模に,extensively
戦時に(2語),in war
平時に(2語),in peace
祖先,ancestor
を続ける(2語)…,carry on
を解決する(2語)…,work out
を試着する(2語)…,try on
(嘘、作り話を)でっちあげる(2語),make up
を騙す(2語)…,take in
マンション,apartment
(都市の)中心部の,downtown
利益、恩恵,benefit
遊戯室,playroom
運動施設(2語),fitness facility
待合室,lounge
高い部分の,upper
土地、空間,room
人口密度(2語),population density
を遮る(2語)…,block out
大事なことが最後になったが(4語),last but not least
住民,resident
の場合には(3語)…,in case of
梯子,ladder
消防車(2語),fire truck
を手渡す(2語)…,hand over
をもたらす(2語)…,bring about
をがっかりさせる(2語)…,let down
に記入する(2語)…,fill out
を記入する(2語)…,put down
心臓の鼓動,heartbeat
舞台負け(2語),stage fright
に影響を及ぼす…,affect
スーパースター,superstar
怖がって,scared
死ぬほど(2語),to death
を克服する(2語)…,get over
を経験する(2語)…,go through
別の例を挙げれば(4語),to give another example
から引退する(2語)…,retire from
に直面している(3語)…,be faced with
を取り除く…,remove
演奏者、役者,performer
運動選手,athlete
に対処する(2語)…,cope with
メジャーリーガー(2語),major leaguer
バッターボックス(2語),batter's box
気持ちを落ち着ける(2語),calm down
に集中する(2語)…,concentrate on
を思いつく(3語)…,come up with
と仲良くなる(3語)…,get along with
が無くなる、不足する(3語)…,run out of
を振り返る(3語)…,look back on
に移る(3語)…,move on to
顔のない、個性を欠いた,faceless
調査,syrvey
英国放送協会,BBC
有益な,positive
一部分は,partly
大衆文化(2語),popular culture
異例な,unusual
物語の筋,storyline
うまく書かれた,well-written
魅力的な,attractive
アニメ,anime
することを熱望する(3語)…,be eager to
(目的や好み)に合う,suit
もとは,originally
版…,version
クリケット,cricket
を促進する…,promote
に打ち勝つ…,overcome
信頼,trust
を尊敬する(3語)…,look up to
を見下す、軽蔑する(3語)…,look down on
を償う、埋め合わせる(3語)…,make up on
を廃止する(3語)…,do away with
を考え直してやめる(3語)…,think better of
