政治・経済
人々が秩序を作り共通の利益を実現する営みは何,政治
人間間に秩序を作り維持するための力は何,権力
国家が領域・領民を支配する権力は何,主権
民間団体が作る組織のことを漢字で何というか,非政府組織
民間団体が作る組織のことを何と略すか,NGO
国家が問題を解決する重要な手段は何,法律
法律が国会により制定・改廃されることを何というか,立法
人間の集団生活における行動などに関する基準は何,規範
地域社会や国の中で共有されている規範は何,社会規範
継続的反復による規範は何,慣習
倫理的な正しさに関わる規範は何,道徳
法はあらゆる人に一律にあてはめられることを何というか,法的安定性
法を現実に落とし込むことを何というか,適用
法の意味を明らかにする作業は何,解釈
国家権力の発動に関わる法は何,公法
国民相互間の法律関係をめぐる法は何,私法
市民社会を国家権力の介入から守ることを何というか,私的自治の原則
国王の権力は神から授けられたという主張を何というか,王権神授説
王の独裁による政治を何というか,絶対王政
自然の法に基づく権利を何というか,自然権
主権者に自然権を譲渡する考え方をなんというか,社会契約説
信託した自然権を取り戻す権利を何というか,抵抗権・革命権
誰もが平等に参加して作りだされる共通の利益をなんというか,一般意思
国家の私生活への介入の抑制を保障する権利を何というか,自由権
重商主義を批判し自由放任主義を説いた人物は誰,アダム＝スミス
ラッサールは国家の機能を最小限に止める考え方を何と批判したか,夜警国家
生存権や労働者の団結権などをまとめて何というか,社会権
すべての国民の生活保障を目指す国家は何,福祉国家
他人指向型で情緒的、支配に服しやすい存在は何,大衆
第二次世界大戦中にローズヴェルト大統領が掲げた目標は何,４つの自由
物事を単純化して支持を得ようとする姿勢を何というか,ポピュリズム
イギリスで発展した政治制度は何,議院内閣制
下院の多数党の党首が首相に選出される制度は何,政党内閣制
下院が内閣を信任しなくなったとき、内閣は下院に対して何ができるか,解散
野党が政権を取ったときのために組織しているものは何,影の内閣
アメリカなどに代表される政治制度は何,大統領制
大統領が議会に要請するとき、何を送るか,教書
大統領は議会が可決した法案に対しどんな権利を持つか,拒否権
特にフランスの政治制度は何,半大統領制
特に社会主義国家で採用される政治制度は何,権力集中制
中国の最高権力機関は何,全国人民代表大会
1960年代以降一部の発展途上国に見られた政治体制は何,開発独裁
選挙で選ばれた議員による政治を求める運動は何,自由民権運動
帝国議会開催の前年に発布された憲法は何,大日本帝国憲法
天皇が制定する憲法は何,欽定憲法
大日本帝国憲法で日本はどのような国とされているか,立憲君主制
天皇が議会の関与なしに行使できた権力は何,天皇大権
軍隊の指揮について議会や内閣の統制を受けないことを何というか,統帥権の独立
臣民の権利は法律ノ範囲内ニ於テ認められることを何というか,法律の留保
帝国議会は天皇に対し何をする機関であったか,協賛
各国務大臣は天皇に対し何をする立場であったか,輔弼
大日本帝国憲法は実質何主義であったか,外見的立憲主義
大正から昭和初期にかけて比較的立憲主義的な政治が行われた期間は何,大正デモクラシー
大正デモクラシーで主に目指されたものは、政党内閣と何,普通選挙制
普通選挙制の実現と同時に制定された法律は何,治安維持法
1941年から始まった、日本対アメリカの戦争は何か,太平洋戦争
連合軍が日本に対し受け入れるよう要求した宣言は何か,ポツダム宣言
GHQは何の略か,連合国軍総司令部
GHQの最高司令官は誰,マッカーサー
日本国憲法制定時の総理大臣は誰,幣原喜重郎
幣原喜重郎の発足させた憲法の改正案を考案する委員会は何,憲法問題調査委員会
1946年11月3日に公布、翌年5月3日に施行された憲法は何,日本国憲法
