総合英語ⅢA
自分、それ自体,self
注意深い、慎重である,cautious
臆病な、内気な,timid
あえて…する,dare
のそばに…,beside
怯えた,scared
誇張する、大げさに言う,exaggerate
を散らかす…,mess
恥ずかしがりの,shy
偶然の、予期しない,accidental
思いがけない,unexpected
出会い,encounter
知り合い,acquaintance
失敗する（2語）,mess up
を和解させる（2語）…,bring together
と仲良くやっていく（4語）,get on well with
明らかな,obvious
落ち着かない,awkward
を見つける…,detect
を白状する…,confess
を裏切る…,betray
適切に,properly
逆もまた同様に(2語),vice versa
結局…になる（2語）,turn out
と心の中で思う（3語）…,say to oneself
に調子を合わせる（3語）…,play along with
ことわざ（2語）,the saying
口論,quarrel
悪意のある,malicious
所見、発言,remark
誤解,misunderstanding
困らせる,embarrassing
謝罪する,apologize
イントネーション,intonation
顔の,facial
雇う、利用する,employ
無頓着な,casual
洞察力,insight
仲直りをする（3語）,make up with
AをBに伝える（5語）,get A through to B
向かい合って（3語）,face to face
と出くわす（2語）…,come across
入口,gateway
わきへ,aside
視覚,sight
予想,expectation
を曖昧にする…,obscure
含む,contain
層,layer
絶対に,absolutely
致命的な,fatal
快適さ,comfort
感情を害する,offend
気付かせる,remind
を見失う（3語）…,lose sight of
多量の（4語）,a great deal of
言外の意味、含み,implication
