国語Ⅲ
指揮を とる,執る
責任を とる,取る
気が きく,利く
汗を かく,掻く
橋を かける,架ける
食事を すすめる,勧める
代表者に すすめる,薦める
人質の かいほう,解放
目的に かなう,適う
体重を はかる,量る
身長を はかる,測る
時間を はかる,計る
解決を はかる,図る
試合に のぞむ,臨む
豆を ひく,挽く
楽器を ひく,弾く
ボタンを とめる,留める
車を とめる,停める
酔いが さめる,醒める
生地を たつ,裁つ
消息を たつ,絶つ
身体の いじょう,異状
電話の かせつ,架設
内政 かんしょう,干渉
音楽 かんしょう,鑑賞
注意の かんき,喚起
部屋の かんき,換気
過去を かえりみる,顧みる
料金の かいてい,改定
辞書の かいてい,改訂
商店に おろす,卸す
運賃の せいさん,精算
たいしょう 的な性格,対照
肺炎を わずらう,患う
むじょう の喜び,無上
新聞に のる,載る
箪笥 の数え方,棹
靴下 の数え方,足
舟 の数え方,隻
エレベーター の数え方,基
タイヤ の数え方,本
短歌 の数え方,首
はさみ の数え方,丁
たらこ の数え方,腹
こんにゃく の数え方,丁
豆腐 の数え方,丁
遺骨 の数え方,体
琴 の数え方,張
太鼓 の数え方,張
手紙 の数え方,通
大砲 の数え方,門
鉄砲 の数え方,丁
弓 の数え方,張
鎧 の数え方,領
戦車 の数え方,台
落語 の数え方,題
能 の数え方,番
鐘 の数え方,口
額 の数え方,枚
巻物 の数え方,巻
更迭,こうてつ
糾弾,きゅうだん
忌憚,きたん
拘泥,こうでい
時化,しけ
杜撰,ずさん
出納,すいとう
長閑,のどか
諮問,しもん
逝去,せいきょ
造詣,ぞうけい
歪曲,わいきょく
時候,じこう
玉蜀黍,とうもろこし
水母,くらげ
家鴨,あひる
鶯,うぐいす
鶉,うずら
栄螺,さざえ
河豚,ふぐ
啄木鳥,きつつき
百日紅,さるすべり
蕗,ふき
羊歯,しだ
糸瓜,へちま
はけん 社員,派遣
規制 かんわ,緩和
こうせい 年金,厚生
民事 そしょう,訴訟
経費 さくげん,削減
食品 ぎそう,偽装
不良 さいけん,債権
るいしん 課税,累進
勤しむ の読み方,いそしむ
防波 てい,堤
ぎ 牲者,犠
るい 計,累
きょう 正,矯
落 たん,胆
収 かく,穫
漁 かく 量,獲
貯 ちく,蓄
近 こう,郊
ぞう 呈,贈
てっ 回,撤
へい 害,弊
紙 へい,幣
ほ 装,舗
国会の しょう 集,召
そ 止,阻
ぼう 害,妨
武蔵 ぼう 弁慶,坊
「」節操,無
「」灯火,無
「」担保,無
「」分化,未
白鳳文化,はくほうぶんか
西班牙,スペイン
伯剌西爾,ブラジル
葡萄牙,ポルトガル
越南,ベトナム
瑞西,スイス
新嘉坡,シンガポール
亜爾然丁,アルゼンチン
常陸,ひたち
角館,かくのだて
安積,あさか
茅ヶ崎,ちがさき
敦賀,つるが
壱岐,いき
磐梯山,ばんだいさん
而立,じりつ
あっとう 的,圧倒
いく 同音,異口
ゆうこう 条約,友好
いちどう に会する,一堂
芋 ほ り,掘
泥 しあい,仕合
ぐんしゅう 心理,群集
注意 さんまん,散漫
いかん 無く,遺憾
需要 の対義語,供給
模倣 の対義語,創造
逆境 の対義語,順境
広大 の対義語,狭小
保守 の対義語,革新
過失 の対義語,故意
已然 の対義語,未然
債権 の対義語,債務
叙事 の対義語,叙情
唯物 の対義語,唯心
暴騰 の対義語,暴落
慢性 の対義語,急性
総論 の対義語,各論
幹線 の対義語,支線
領海 の対義語,公海
蓄財 の対義語,散財
整然 の対義語,雑然
落第 の対義語,及第
分散 の対義語,集中
遺失 の対義語,収得
否認 の対義語,是認
公正 の対義語,不正
演繹 の対義語,帰納
存続 の対義語,廃止
不如意 の読み,ふにょい
一家言 の読み,いっかげん
野放図 の読み,のほうず
生一本 の読み,きいっぽん
慇懃無礼 の読み,いんぎんぶれい
一気呵成 の読み,いっきかせい
金科玉条 の読み,きんかぎょくじょう
牽強付会 の読み,けんきょうふかい
四字熟語「優勝〇〇」,劣敗
四字熟語「平身〇〇」,低頭
四字熟語「行雲〇〇」,流水
四字熟語「内憂〇〇」,外患
四字熟語「和魂〇〇」,洋才
