政治・経済
日本国憲法の柱と呼ばれるものは何,三大基本原理
基本原理の内、主権が国民にあることを示すものは何,国民主権
基本原理の内、基本的人権についてのものは何,基本的人権の保障
基本原理の内、戦争放棄などを示すものは何,平和主義
天皇は日本国民統合の象徴であるという制度は何,象徴天皇制
日本国憲法が最高法規であるという性質は何,最高法規制
公務員が憲法を遵守しなければならないこと,憲法尊重擁護義務
三大基本原理は改正できないことを何というか,憲法改正の限界
憲法改正委の手続きを定めた法律は何,国民投票法
平和に生きる権利は何,平和的生存権
戦争の放棄、戦力の不保持、交戦権の否認は第何条か,第9条
第一次世界大戦後の不戦条約は何条約か,ケロッグーブリアン条約
戦争を禁止しようとする動き,戦争の違法化
朝鮮戦争を理由に設立されたもの,警察予備隊
警察予備隊は改組して何になったか,保安隊
保安隊は何になったか,自衛隊
自衛隊は憲法の禁ずる戦力に当たらないという立場,自衛力合憲論
憲法を変えるかどうかの問題は何,憲法改正問題
米軍に基地などを提供する条約は何,日米安全保障条約
親米を基本とした政策は何,日米安保体制
現行の日米安保条約は俗に何,新安保条約
日米が前もって協議を行う制度は何,事前協議制度
安保に反対したデモ運動は何か,安保反対闘争
安保条約に基づく防衛協力の在り方を取り決めた文書,日米防衛協力のための指針
在日米軍の駐留予算は俗に何,思いやり予算
自国を防衛するために武力を行使する権利は何,個別的自衛権
核を抑止するための原則はまとめて何,非核三原則
文民からなる政府などが軍を民主的に統制することは何,文民統制
同盟国を防衛するために武力を行使する権利は何,集団的自衛権
紛争の当事国などに武器輸出を認めないこと,武器輸出三原則
PKOへの自衛隊の海外派遣等を認める法律,国連平和維持活動等協力法
日米安保共同宣言による安保体制の新たな意義づけ,安保再定義
日米共同対処行動の拡大などを合意したもの,新ガイドライン
同時多発テロに対して自衛隊が後方支援できる法律,テロ対策特別措置法
アメリカがイラクを攻撃したことによる戦争,イラク戦争
イラクの非戦闘地域で自衛隊が救援活動をする法律,イラク復興支援特別措置法
武器輸出三原則を改めたもの,防衛装置移転三原則
軍事力によらない平和の追求,人間の安全保障
人間が生まれながらに持つ権利,基本的人権
個人の活動などに関する自由権,精神の自由
不当に拘束されない自由,人身の自由
人の経済的活動の自由,経済の自由
個人の進行や宗教的行為の自由,信教の自由
国家が宗教的に中立を保つこと,政教分離
研究などにが政治などの干渉を受けないこと,学問の自由
大学の管理などにが政治の干渉を受けないこと,大学の自治
個人の考えを検閲されることなく公表できる自由,表現の自由
一定の手続きを踏まなければ処罰等ができないこと,法廷手続きの保障
法律でのみ処罰を課せられること,罪刑法定主義
逮捕等には令状が必要であること,令状主義
被疑者が弁護人の弁護を受けることができる制度,弁護人依頼権
被疑者は供述する義務を負わないこと,黙秘権
法律ができてから過去の事例を処罰できないこと,遡及処罰の禁止
同じ事件を同じ罪状で処罰できないこと,一事不再理の原理
無実であるのに犯罪者として扱われてしまうこと,冤罪
人の財産は公でも侵害できないという原則,財政権の不可侵
火地同士の権利の衝突を調整する原理,公共の福祉
すべての国民は人種や身分によって差別されないこと,法の下の平等
健康で文化的な最低限度の生活を営む権利,生存権
生存権は努力目標であるという考え方,プログラム規定説
教育の目的や方針についての法律,教育基本法
労働者が人間らしい生活をするために必要な権利の総称,労働基本権
働きたくてもできない人が国家に対し求める権利,勤労の権利
憲法第28条で労働者の権利と規定されているもの,労働三権
労働者が団結する権利,団結権
雇用主と団体交渉する権利,団体交渉権
ストライキなどをする権利,団体行動権
,市場経済
,資本家
,労働者
,アダム＝スミス
,見えざる手
,リカード
,世界恐慌
,ケインズ
,社会主義・共産主義
,ニューディール政策
,修正資本主義
,混合経済
,フリードマン
,新自由主義
,経済活動
,経済主体
,家計
,企業
,政府
,需要
,供給
,需給曲線
,均衡価格
,資本の集中
,寡占
,独占
,不完全競争
,独占禁止法
,公正取引委員会
,競争的寡占市場
,市場占有率
,非価格競争
,市場の失敗
,外部効果
,公共財
,非対称情報の状態
,公害
,外部不経済
,株式会社
,株主
,所有と経営の分離
,企業の社会的責任
,コンプライアンス
