総合英語ⅢA
利便性,accessibility
アスリート,athlete
不運にも,unfortunately
プール,pool
不安,anxiety
徐々に,gradually
現実,reality
ーーに通う,attend
盲目,blind
教科書,textbook
点字,Braille
タイプライター,typewriter
指先,fingertip
敏感,sensitive
点,dot
探し求める,seek
独立,independent
ーーを諦める（２語）,give up
気持ちを切り替える（２語）,move on
ーーに関しては（４語）,When it comes to
ーーに対して敏感（３語）,be sensitive to
ーーするのは～～だ（４語）,have a time doing
利点,advantage
ーーを省略する,abbreviate
ーーを相談する,consult
巻、冊,volume
追加の,additional
処理,processing
卒業する,graduate
研修生,intern
従業員,employee
可能性,potential
デジタル化する,digitize
利用できる,available
ーー経由で,via
初めから（３語）,from the beginning
ーーする助けになる（２語）,help do
ーーを仰天させる,astonish
ーーに接続する,access
相違,gap
ブラウザ,browser
本文,text
ーーを開発する,develop
パッド,pad
男性の,male
ハイパーリンク,hyperlink
女性の,female
ーーを含む,include
ーーをどうにかやり遂げる,manage
応用する,apply
ーーする人たち（２語）,those who
ーーが～～するのを止める（３語）,stop from doing
どうにかーーする（３語）,managed to do
行ったり来たり（３語）,back and forth
ーーとコミュニケーションをとる（２語）,communicate with
あっという間に（３語）,in no time
ーーに応用される（３語）,be applied to
仮想の,virtual
挑戦,challenge
実例,instance
スマホ,smartphone
着用できる,wearable
装置,device
ーーを囁く,whisper
ーーする所ならどこでも,wherever
付き添い,companion
挨拶をする,greet
ーーを調べる,check
不利な条件,disadvantage
観点,viewpoint
進捗,progress
試み,trial
誤り,error
ーーに取り組む（２語）,work on
たとえば（２語）,for instance
名指しで（２語）,by name
振り返る（３語）,look back over
ーーが～～に変わる（２語）,turn into
試行錯誤（３語）,trial and error
